iter	Passed	Remaining
0	563	281295
1	1007	250869
2	1413	234226
3	1819	225560
4	2215	219307
5	2723	224200
6	3138	221020
7	3482	214203
8	3919	213814
9	4271	209280
10	4654	206920
11	5009	203729
12	5400	202303
13	5753	199732
14	6160	199199
15	6548	198088
16	6985	198480
17	7365	197244
18	7778	196919
19	8209	197039
20	8671	197786
21	9157	198965
22	9592	198932
23	10000	198334
24	10441	198388
25	10887	198486
26	11348	198805
27	11831	199438
28	12186	197929
29	12558	196753
30	12948	195903
31	13328	194922
32	13679	193592
33	14037	192390
34	14383	191098
35	14765	190313
36	15136	189405
37	15478	188188
38	15837	187202
39	16192	186210
40	16586	185685
41	17155	187073
42	17619	187261
43	18094	187524
44	18614	188211
45	19106	188572
46	19562	188548
47	19994	188279
48	20459	188312
49	20853	187678
50	21277	187328
51	21706	187007
52	22100	186395
53	22524	186032
54	22897	185258
55	23289	184651
56	23691	184129
57	24078	183491
58	24471	182917
59	24864	182339
60	25298	182068
61	25690	181493
62	26069	180833
63	26447	180171
64	26829	179551
65	27238	179112
66	27629	178560
67	28011	177953
68	28394	177363
69	28740	176549
70	29089	175768
71	29547	175643
72	29904	174923
73	30275	174288
74	30617	173497
75	30941	172618
76	31306	171980
77	31691	171461
78	32049	170795
79	32463	170433
80	32789	169613
81	33142	168944
82	33472	168168
83	33801	167400
84	34171	166835
85	34506	166115
86	34842	165400
87	35192	164762
88	35561	164221
89	35921	163643
90	36408	163638
91	36760	163026
92	37109	162405
93	37501	161972
94	37848	161353
95	38253	160981
96	38603	160382
97	38935	159713
98	39271	159070
99	39608	158433
100	39933	157756
101	40319	157325
102	40666	156742
103	40993	156090
104	41350	155557
105	41701	155002
106	42039	154408
107	42389	153858
108	42708	153203
109	43033	152573
110	43362	151964
111	43683	151330
112	44022	150765
113	44364	150217
114	44689	149613
115	45019	149030
116	45355	148470
117	45711	147981
118	46130	147694
119	46489	147216
120	46862	146785
121	47251	146400
122	47713	146243
123	48107	145874
124	48432	145296
125	48766	144750
126	49094	144189
127	49415	143615
128	49774	143149
129	50104	142606
130	50418	142017
131	50746	141474
132	51052	140873
133	51386	140354
134	51725	139850
135	52081	139395
136	52414	138878
137	52725	138309
138	53049	137776
139	53390	137290
140	53732	136809
141	54083	136351
142	54451	135937
143	54798	135474
144	55145	135011
145	55490	134546
146	55831	134071
147	56172	133598
148	56528	133163
149	56865	132686
150	57217	132244
151	57552	131765
152	57903	131322
153	58234	130837
154	58676	130601
155	58995	130092
156	59326	129612
157	59660	129138
158	59994	128668
159	60328	128197
160	60676	127759
161	60992	127256
162	61325	126789
163	61650	126307
164	61978	125835
165	62312	125376
166	62655	124935
167	63026	124552
168	63358	124092
169	63714	123681
170	64049	123229
171	64397	122805
172	64731	122353
173	65084	121939
174	65420	121495
175	65778	121092
176	66101	120625
177	66456	120218
178	66777	119751
179	67112	119311
180	67440	118859
181	67765	118404
182	68094	117956
183	68447	117551
184	68788	117126
185	69115	116679
186	69441	116230
187	69770	115788
188	70106	115359
189	70438	114925
190	70767	114487
191	71092	114043
192	71433	113627
193	71746	113167
194	72077	112736
195	72422	112329
196	72754	111902
197	73066	111445
198	73395	111015
199	73714	110572
200	74054	110161
201	74389	109743
202	74711	109307
203	75042	108885
204	75371	108461
205	75706	108047
206	76043	107635
207	76368	107209
208	76701	106794
209	77028	106372
210	77361	105959
211	77692	105544
212	78035	105146
213	78367	104734
214	78708	104334
215	79041	103925
216	79391	103538
217	79762	103178
218	80213	102922
219	80555	102525
220	80897	102127
221	81247	101741
222	81596	101354
223	81943	100966
224	82288	100574
225	82634	100185
226	82969	99782
227	83313	99391
228	83669	99014
229	84007	98617
230	84341	98216
231	84670	97809
232	84991	97394
233	85327	96996
234	85654	96588
235	85979	96180
236	86326	95796
237	86650	95388
238	86984	94990
239	87313	94589
240	87651	94197
241	87977	93794
242	88308	93396
243	88634	92993
244	88966	92598
245	89293	92197
246	89618	91795
247	89941	91392
248	90263	90988
249	90591	90591
250	90921	90196
251	91244	89796
252	91577	89405
253	91907	89013
254	92234	88617
255	92573	88234
256	92895	87835
257	93227	87445
258	93555	87053
259	93879	86657
260	94230	86287
261	94584	85919
262	94997	85605
263	95346	85233
264	95682	84850
265	96030	84478
266	96377	84105
267	96714	83723
268	97066	83354
269	97398	82969
270	97743	82594
271	98083	82216
272	98421	81837
273	98747	81449
274	99095	81077
275	99439	80704
276	99786	80333
277	100130	79960
278	100461	79576
279	100817	79213
280	101182	78857
281	101547	78501
282	101886	78124
283	102231	77753
284	102576	77382
285	102917	77008
286	103380	76724
287	103744	76367
288	104100	76003
289	104436	75626
290	104772	75249
291	105106	74870
292	105460	74506
293	105804	74135
294	106138	73757
295	106471	73378
296	106806	73002
297	107162	72640
298	107488	72257
299	107811	71874
300	108159	71507
301	108496	71133
302	108877	70788
303	109229	70424
304	109567	70051
305	109901	69675
306	110240	69304
307	110577	68931
308	110925	68565
309	111256	68189
310	111582	67810
311	111904	67429
312	112226	67049
313	112552	66671
314	112896	66304
315	113219	65925
316	113542	65546
317	113870	65170
318	114204	64799
319	114547	64432
320	114863	64051
321	115307	63741
322	115635	63366
323	115956	62988
324	116280	62612
325	116622	62246
326	116949	61872
327	117286	61503
328	117622	61135
329	117947	60760
330	118292	60396
331	118627	60028
332	118956	59656
333	119275	59280
334	119600	58907
335	119929	58536
336	120251	58163
337	120573	57789
338	120930	57433
339	121233	57051
340	121564	56682
341	121907	56319
342	122233	55949
343	122560	55579
344	122890	55211
345	123211	54839
346	123549	54475
347	123876	54107
348	124208	53740
349	124534	53371
350	124861	53004
351	125189	52636
352	125518	52269
353	125848	51903
354	126165	51532
355	126496	51167
356	126829	50802
357	127169	50441
358	127485	50071
359	127807	49702
360	128140	49339
361	128464	48972
362	128803	48611
363	129156	48256
364	129507	47900
365	129852	47541
366	130198	47183
367	130542	46825
368	130882	46464
369	131214	46102
370	131559	45744
371	131905	45386
372	132256	45030
373	132597	44671
374	132940	44313
375	133390	43990
376	133719	43627
377	134053	43265
378	134387	42904
379	134714	42541
380	135045	42179
381	135377	41818
382	135701	41454
383	136078	41106
384	136420	40749
385	136804	40403
386	137134	40041
